漢字,答え,ヒント,例（日本語）,例（英語）
体,からだ,body,~,~
頭,あたま,head,~,~
頭がいい,あたまがいい,smart,~,~
顔,かお,face,~,~
首,くび,neck,~,~
首都,しゅと,capital,~,~
心,こころ,heart,~,~
安心する,あんしんする,to be relieved,~,~
声,こえ,voice,~,~
病気,びょうき,illness,~,~
病院,びょういん,hospital,~,~
薬,くすり,medicine,~,~
科学,かがく,science,~,~
教科書,きょうかしょ,textbook,~,~
車内,しゃない,in the car,~,~
朝,あさ,morning,~,~
今朝,けさ,this morning,~,~
朝日,あさひ,sunrise,~,~
昼,ひる,noon,~,~
昼休み,ひるやすみ,lunch break,~,~
夜,よる,night,~,~
今夜,こんや,tonight,~,~
夕日,ゆうひ,sunset,~,~
夕食,ゆうしょく,supper,~,~
読み方,よみかた,how to read,~,~
夕方,ゆうがた,evening,~,~
あの方,あのかた,that person,~,~
今晩,こんばん,tonight,~,~
毎晩,まいばん,every night,~,~
晩ご飯,ばんごはん,dinner,~,~
時計,とけい,watch; clock,~,~
計画,けいかく,plan,~,~
日曜日,にちようび,Sunday,~,~
水曜日,すいようび,Wednesday,~,~
何曜日,なんようび,what day of the week,~,~
以上,いじょう,more than,~,~
以下,いか,less than,~,~
以外,いがい,except,~,~
一度,いちど,once,~,~
今度,こんど,next time,~,~
25度,25ど,25 degrees,~,~
止まる,とまる,to stop,~,~
中止する,ちゅうしする,to cancel,~,~
歩く,あるく,to walk,~,~
走る,はしる,to run,~,~
起きる,おきる,to get up,~,~
持つ,もつ,to hold,~,~
気持ち,きもち,feeling,~,~
待つ,まつ,to wait,~,~
待ち合わせ,まちあわせ,appointment; meet up,~,~
借りる,かりる,to borrow,~,~
貸す,かす,to lend,~,~
始める,はじめる,to begin,~,~
終わる,おわる,to end,~,~
