漢字,答え,ヒント,例（日本語）,例（英語）
家,いえ,house,~,~
画家,がか,painter,~,~
家内,かない,wife,~,~
家族,かぞく,family,~,~
私,わたし,I,~,~
自分,じぶん,oneself,~,~
自動ドア,じどうドア,automatic door,~,~
親,おや,parent,~,~
母親,ははおや,mother,~,~
親切な,しんせつな,kind,~,~
両親,りょうしん,parents,~,~
両方,りょうほう,both,~,~
両手,りょうて,both hands,~,~
兄,あに,one’s elder brother,~,~
お兄さん,おにいさん,elder brother,~,~
弟,おとうと,one’s younger brother,~,~
兄弟,きょうだい,brothers / siblings,~,~
姉,あね,one’s elder sister,~,~
お姉さん,おねえさん,elder sister,~,~
妹,いもうと,one’s younger sister,~,~
姉妹,しまい,sisters,~,~
生活,せいかつ,living,~,~
回す,まわす,to turn,~,~
１回,いっかい,once,~,~
前回,ぜんかい,the last time,~,~
主人,しゅじん,husband,~,~
色,いろ,color,~,~
茶色,ちゃいろ,brown,~,~
形,かたち,shape,~,~
人形,にんぎょう,doll,~,~
品物,しなもの,goods,~,~
食料品,しょくりょうひん,food,~,~
国民,こくみん,citizens of the state,~,~
市民,しみん,citizen,~,~
服,ふく,clothes,~,~
洋服,ようふく,Western clothing,~,~
犬,いぬ,dog,~,~
子犬,こいぬ,puppy,~,~
同じ,おなじ,same,~,~
米,こめ,rice,~,~
料金,りょうきん,fee; charge,~,~
料理,りょうり,cooking,~,~
地理,ちり,geography,~,~
肉,にく,meat,~,~
牛肉,ぎゅうにく,beef,~,~
鳥,とり,bird,~,~
小鳥,ことり,little bird,~,~
鳥肉,とりにく,chicken,~,~
野菜,やさい,vegetable,~,~
お茶,おちゃ,tea,~,~
ご飯,ごはん,cooked rice; meal,~,~
夕飯,ゆうはん,supper,~,~
晩ご飯,ばんごはん,dinner,~,~
味,あじ,taste,~,~
意味,いみ,meaning,~,~
代わる,かわる,take somebody’s place,~,~
代わりに,かわりに,instead,~,~
使う,つかう,to use,~,~
大使館,たいしかん,embassy,~,~
使用中,しようちゅう,be engaged on something,~,~
作る,つくる,to make,~,~
作文,さくぶん,essay,~,~
変化する,へんかする,to change,~,~
信じる,しんじる,to believe,~,~
信号,しんごう,signal,~,~
進む,すすむ,to proceed,~,~
送る,おくる,to send,~,~
返す,かえす,to return,~,~
洗う,あらう,to wash,~,~
お手洗い,おてあらい,restroom,~,~
