漢字,答え,ヒント,例（日本語）,例（英語）
問,とい,question,~,~
問題,もんだい,question,~,~
題名,だいめい,title,~,~
試合,しあい,game,~,~
試験,しけん,examination,~,~
質問する,しつもんする,to ask a question,~,~
間に合う,まにあう,to be in time,~,~
場合,ばあい,case,~,~
都合がいい,つごうがいい,convenient,~,~
答える,こたえる,to answer,~,~
答え,こたえ,answer,~,~
用事,ようじ,business,~,~
利用する,りようする,to use,~,~
手紙,てがみ,letter,~,~
コピー用紙,コピーようし,photocopying paper,~,~
新聞紙,しんぶんし,a piece of newspaper,~,~
意味,いみ,meaning,~,~
注意する,ちゅういする,to pay attention,~,~
用意する,よういする,to prepare,~,~
意見,いけん,opinion,~,~
引く,ひく,to pull,~,~
引き出し,ひきだし,withdraw money,~,~
開ける,あける,to open,~,~
開く,ひらく,open,~,~
閉める,しめる,to close,~,~
閉じる,とじる,to close,~,~
去年,きょねん,last year,~,~
死ぬ,しぬ,to die,~,~
集める,あつめる,to collect,~,~
集まる,あつまる,to gather,~,~
問題集,もんだいしゅう,drill book,~,~
知る,しる,to know,~,~
売る,うる,to sell,~,~
説明する,せつめいする,to explain,~,~
説明書,せつめいしょ,instruction manual,~,~
小説,しょうせつ,novel,~,~
思う,おもう,to think,~,~
思い出す,おもいだす,to remember,~,~
