漢字,答え,ヒント,例（日本語）,例（英語）
映す,うつす,to reflect,~,~
映画,えいが,movie,~,~
映画館,えいがかん,movie theater,~,~
計画,けいかく,plan,~,~
画家,がか,painer,~,~
日本画,にほんが,Japanese painting,~,~
音,おと,sound,~,~
発音,はつおん,pronounciation,~,~
高音,こうおん,high note,~,~
楽しい,たのしい,enjoyable,~,~
音楽,おんがく,music,~,~
楽な,らくな,easy,~,~
歌う,うたう,sing,~,~
歌手,かしゅ,singer,~,~
写真,しゃしん,photograph,~,~
写す,うつす,to copy,~,~
真ん中,まんなか,midmost,~,~
真実,しんじつ,truth,~,~
旅行する,りょこうする,to take a trip,~,~
旅館,りょかん,Japanese style hotel,~,~
旅,たび,trip,~,~
世話をする,せわをする,to take care of,~,~
世の中,よのなか,world; society,~,~
世紀,せいき,nth century,~,~
世界,せかい,world,~,~
政界,せいかい,political world,~,~
仕事,しごと,job,~,~
仕方がない,しかたがない,there is no choice,~,~
火事,かじ,fire,~,~
用事,ようじ,business,~,~
大事な,だいじな,important,~,~
事,こと,matter,~,~
銀,ぎん,silver,~,~
銀行,ぎんこう,bank,~,~
会社員,かいしゃいん,company employee,~,~
銀行員,ぎんこういん,bank clerk,~,~
店員,てんいん,clerk,~,~
会員,かいいん,membership,~,~
医者,いしゃ,doctor,~,~
医学,いがく,medical science,~,~
者,もの,person,~,~
歯医者,はいしゃ,dentist,~,~
学者,がくしゃ,scholar,~,~
作者,さくしゃ,author,~,~
働く,はたらく,to work,~,~
労働者,ろうどうしゃ,laborer; worker,~,~
本屋,ほんや,book store,~,~
屋上,おくじょう,roof top,~,~
八百屋,やおや,grocery,~,~
部屋,へや,room,~,~
産む,うむ,to give birth,~,~
生産する,せいさんする,to produce,~,~
財産,ざいさん,fortune,~,~
産業,さんぎょう,industry,~,~
工業,こうぎょう,manufacture,~,~
授業,じゅぎょう,class; lesson,~,~
本日休業,ほんじつきゅうぎょう,closed today,~,~
林,はやし,wood; grove,~,~
小林さん,こばやしさん,Mr. Kobayashi,~,~
林道,りんどう,forest road,~,~
森,もり,forest,~,~
地図,ちず,map,~,~
地下鉄,ちかてつ,subway,~,~
土地,とち,land,~,~
地震,じしん,earthquake,~,~
池,いけ,pond,~,~
電池,でんち,battery,~,~
海,うみ,the sea; the ocean,~,~
海外,かいがい,overseas,~,~
北海道,ほっかいどう,Hokkaido,~,~
西洋,せいよう,the West,~,~
東洋,とうよう,the East,~,~
洋服,ようふく,Western clothes,~,~
雪,ゆき,snow,~,~
大雪,おおゆき,heavy snow,~,~
光,ひかり,light,~,~
光る,ひかる,to shine,~,~
日光,にっこう,sunlight,~,~
台,だい,table,~,~
台所,だいどころ,kitchen,~,~
～台,～だい,counter for machines,~,~
土台,どだい,foundation,~,~
風,かぜ,wind,~,~
台風,たいふう,typhoon,~,~
洋風,ようふう,Western style,~,~
四季,しき,four seasons,~,~
季節,きせつ,season,~,~
春,はる,spring,~,~
青春,せいしゅん,youth,~,~
夏,なつ,summer,~,~
夏休み,なつやすみ,summer holidays,~,~
夏祭り,なつまつり,summer festival,~,~
夏服,なつふく,summer clothes,~,~
秋,あき,autumn,~,~
秋田県,あきたけん,Akita prefecture,~,~
冬,ふゆ,winter,~,~
冬休み,ふゆやすみ,winter holidays,~,~
暑い,あつい,hot,~,~
寒い,さむい,cold,~,~
暖かい,あたたかい,warm,~,~
涼しい,すずしい,cool,~,~
