漢字,答え,ヒント,例（日本語）,例（英語）
場所,ばしょ,place,~,~
工場,こうじょう,factory,~,~
建てる,たてる,to build,~,~
建物,たてもの,building,~,~
物,もの,things,~,~
買い物,かいもの,shopping,~,~
動物,どうぶつ,animal,~,~
病院,びょういん,hospital,~,~
入院する,にゅういんする,to be hospitalized,~,~
大学院,だいがくいん,graduate school,~,~
映画館,えいがかん,movie theater,~,~
大使館,たいしかん,embassy,~,~
食堂,しょくどう,dining room,~,~
教室,きょうしつ,classroom,~,~
工事,こうじ,construction,~,~
工業,こうぎょう,manufacturing,~,~
図,ず,figure,~,~
地図,ちず,map,~,~
図書館,としょかん,library,~,~
信号,しんごう,signal,~,~
交通,こうつう,traffic,~,~
通る,とおる,to go through,~,~
通う,かよう,to commute,~,~
通学,つうがく,commute to school,~,~
大通り,おおどおり,main street,~,~
動く,うごく,to move,~,~
運動,うんどう,exercise,~,~
自動車,じどうしゃ,car,~,~
乗る,のる,to get on,~,~
乗り場,のりば,transport stop/stand,~,~
降りる,おりる,to get off,~,~
降る,ふる,to rain,~,~
運ぶ,はこぶ,to transport,~,~
運転する,うんてんする,to drive,~,~
自転車,じてんしゃ,bicycle,~,~
帰る,かえる,to return,~,~
帰国する,きこくする,to return one’s country,~,~
お帰りなさい,おかえりなさい,welcome home,~,~
出発する,しゅっぱつする,to leave,~,~
着る,きる,to put on clothes,~,~
着く,つく,to arrive,~,~
着物,きもの,Kimono,~,~
漢字,かんじ,Kanji,~,~
字,じ,letter,~,~
文字,もじ,character,~,~
文,ぶん,sentence,~,~
文学,ぶんがく,literature,~,~
教える,おしえる,to teach,~,~
教室,きょうしつ,classroom,~,~
教科書,きょうかしょ,text book,~,~
勉強する,べんきょうする,to study,~,~
習う,ならう,to learn,~,~
英語,えいご,English,~,~
考える,かんがえる,to think,~,~
研究する,けんきゅうする,do research,~,~
研究者,けんきゅうしゃ,researcher,~,~
研究室,けんきゅうしつ,laboratory,~,~
